city,date,pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,pm_ratio
Ahmedabad,2015-01-01,0.0,0.0,0.92,18.22,17.15,,0.92,27.64,133.36,0.0,0.02,0.0,0.0,,0.0
Ahmedabad,2015-01-02,0.0,0.0,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,0.0,,0.0
Ahmedabad,2015-01-03,0.0,0.0,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,0.0,,0.0
Ahmedabad,2015-01-04,0.0,0.0,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1.0,0.0,,0.0
Ahmedabad,2015-01-05,0.0,0.0,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,0.0,,0.0
Ahmedabad,2015-01-06,0.0,0.0,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,0.0,,0.0
Ahmedabad,2015-01-07,0.0,0.0,112.16,40.62,130.77,,112.16,32.28,33.47,0.0,0.0,0.0,0.0,,0.0
Ahmedabad,2015-01-08,0.0,0.0,80.87,36.74,96.75,,80.87,38.54,31.89,0.0,0.0,0.0,0.0,,0.0
Ahmedabad,2015-01-09,0.0,0.0,29.16,31.0,48.0,,29.16,58.68,25.75,0.0,0.0,0.0,0.0,,0.0
Ahmedabad,2015-01-10,0.0,0.0,,7.04,0.0,,,8.29,4.55,0.0,0.0,0.0,0.0,,0.0
Ahmedabad,2015-01-11,0.0,0.0,132.07,55.8,24.53,,132.07,25.03,6.79,0.0,0.0,0.0,0.0,,0.0
Ahmedabad,2015-01-12,0.0,0.0,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,0.0,,0.0
Ahmedabad,2015-01-13,0.0,0.0,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,0.0,,0.0
Ahmedabad,2015-01-14,0.0,0.0,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,0.0,,0.0
Ahmedabad,2015-01-15,0.0,0.0,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,0.0,,0.0
Ahmedabad,2015-01-16,0.0,0.0,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,0.0,,0.0
Ahmedabad,2015-01-17,0.0,0.0,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0.0,3.27,0.0,,0.0
Ahmedabad,2015-01-18,0.0,0.0,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,0.0,,0.0
Ahmedabad,2015-01-19,0.0,0.0,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,0.0,,0.0
Ahmedabad,2015-01-20,0.0,0.0,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,0.0,,0.0
Ahmedabad,2015-01-21,0.0,0.0,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0.0,5.65,0.0,,0.0
Ahmedabad,2015-01-22,0.0,0.0,9.05,17.51,22.33,,9.05,23.71,42.22,0.0,0.0,4.51,0.0,,0.0
